Sr,Job Title,Company Name,Experience,Salary,Location,Education,Department,Industry IT,Key Skills,Job Url
206,Corporate Communications Lead - Renewables (15-20 yrs),PageGroup,15 to 20 Yrs,Not Available,Gurugram,Graduation,General / Other Software,Recruitment Services,"multiple projects simultaneously,media relations,press briefings,renewable energy,equipment supply,written communication",https://www.shine.com/jobs/corporate-communications-lead-renewables-yrs/pagegroup/11528362/
207,Design Engineer -Casting,Cyient Limited,4 Yrs,Not Available,Pune,Graduation,General / Other Software,IT - Software,"drafting,drawing,microsoft excel,modeling,large assembly management,engine design",https://www.shine.com/jobs/design-engineer-casting/cyient-limited/11305369/
208,General Manager - Corporate Communications,PageGroup,3 to 7 Yrs,Not Available,Gurugram,Graduation,Operations Management / Process Analysis,Recruitment Services,"multiple projects simultaneously,media relations,press briefings,renewable energy,equipment supply,written communication",https://www.shine.com/jobs/general-manager-corporate-communications/pagegroup/11469078/
209,Technical Lead - Battery Solutions - Renewable Energy,PageGroup,5 to 12 Yrs,Not Available,Gurugram,Graduation,General / Other Software,Recruitment Services,"java,environment,sql server,sql,customer relations,supply chain management",https://www.shine.com/jobs/technical-lead-battery-solutions-renewable-energy/pagegroup/11466613/
210,Senior Manager - Strategy/Business Development - Renewable Energy Firm,PageGroup,5 to 15 Yrs,Not Available,Delhi,Graduation,Service / Installation / Repair,Recruitment Services,"finance,sales,ltd,mis,accountancy,new business",https://www.shine.com/jobs/senior-manager-strategybusiness-development-renewable-energy-firm/pagegroup/11466188/
211,Technical Lead - Battery Storage Solutions - Renewable Energy Firm (5-12 yrs),PageGroup,5 to 12 Yrs,Not Available,Gurugram,Graduation,Maintenance,Recruitment Services,"java,sql server,sql,customer relations,power supply,high voltage",https://www.shine.com/jobs/technical-lead-battery-storage-solutions-renewable-energy-firm-5-yrs/pagegroup/11466132/
212,Senior Design Engineer FOCS,Alstom Transport India Ltd,7 to 12 Yrs,Not Available,Bangalore,Graduation,Engineering Design / Construction,Travel / Tourism,"mechanical,shop drawings,drawing,english language,cad,testing process",https://www.shine.com/jobs/senior-design-engineer-focs/alstom-transport-india-ltd/11418706/
213,Sr.Engineer Hardware Design,Triphase Technologies Private Limited,3 to 8 Yrs,Rs 3.5  - 12 Lakh/Yr,Bangalore,Graduation,R&D / Product Design,Manufacturing,"reliability testing,technology development,thermal,simulation,design,critical power",https://www.shine.com/jobs/srengineer-hardware-design-permanent/triphase-technologies-private-limited/11642727/
214,"for Sales Manager-Reputed Power Industry-Mumbai,",Seven Consultancy,3 to 5 Yrs,Not Available,Mumbai City,Graduation,Sales / BD,Recruitment Services,"sales,marketing,target,business development,due diligence,business growth",https://www.shine.com/jobs/jobs-for-sales-manager-reputed-power-industry-mumbai/seven-consultancy/11111599/
215,Lead Engineer Vehicle to Grid Charging,Eaton Technologies Pvt Ltd,3 to 8 Yrs,< Rs 50000 /Yr,Pune,Graduation,General / Other Software,Engineering / Construction,"java,c,customer relations,linux,automation,power systems",https://www.shine.com/jobs/lead-engineer-vehicle-to-grid-charging-permanent/eaton-technologies-pvt-ltd/11582387/
216,HR EXECUTIVE,RKD Construction,5 to 10 Yrs,Not Available,Bhubaneswar,Graduation,General / Other Software,Cement / Building Material,"leave management,top management,communication skills,petty cash,recruiting,following up",https://www.shine.com/jobs/hr-executive/rkd-construction/11288617/
217,Asst. Business Development Manager-,Seven Consultancy,0 to 2 Yrs,Not Available,Surat,Graduation,Sales / BD,Recruitment Services,"sales,marketing,business development,customer relations,target,due diligence",https://www.shine.com/jobs/asst-business-development-manager/seven-consultancy/10930255/
218,For System Modelling Enginee,Seven Consultancy,2 to 5 Yrs,Not Available,Bangalore,Graduation,General / Other Software,Recruitment Services,"multiple projects simultaneously,power plant,power system,energy systems,energy storage,storage systems",https://www.shine.com/jobs/jobs-for-system-modelling-enginee/seven-consultancy/10885354/
219,SoC Validation Interns,Intel Technology India Pvt Ltd,0 to 1 Yr,Not Available,Bangalore,Graduation,General / Other Software,IT - Software,"vlsi design,behavioral training,industrial automation,customer requirements,SoC Validation,Interns",https://www.shine.com/jobs/soc-validation-interns/intel-technology-india-pvt-ltd/10850660/
220,for Business Development Manager-Reputed Power,Seven Consultancy,4 to 8 Yrs,Not Available,Bangalore,Graduation,General / Other Software,Recruitment Services,"sales,marketing,business development,customer relations,target,due diligence",https://www.shine.com/jobs/jobs-for-business-development-manager-reputed-power/seven-consultancy/10840853/
221,"for Business Development Manager -Reputed Event Industry -Delhi, NCR, India -6LPA -Kajal",Seven Consultancy,3 Yrs,Not Available,Delhi,Graduation,Sales / BD,Recruitment Services,"sales,marketing,business development,customer relations,target,new business generation",https://www.shine.com/jobs/jobs-for-business-development-manager-reputed-event-industry-delhi-ncr-india-6lpa-kajal/seven-consultancy/10828067/
222,-Production Manager-Reputed Plastic Industry,Seven Consultancy,4 to 7 Yrs,Not Available,Bangalore,Graduation,Production,Recruitment Services,"quality control,production planning,iso,safety,quality,analytical ability",https://www.shine.com/jobs/jobs-production-manager-reputed-plastic-industry/seven-consultancy/10823132/
223,Business Development Manager-Reputed Power Industry,Seven Consultancy,7 to 10 Yrs,Not Available,Hyderabad,Graduation,Sales / BD,Recruitment Services,"sales,marketing,business development,customer relations,due diligence,business growth",https://www.shine.com/jobs/business-development-manager-reputed-power-industry/seven-consultancy/10822446/
224,For Power System Modelling Engineer,Seven Consultancy,3 to 6 Yrs,Not Available,Bangalore,Graduation,General / Other Software,Recruitment Services,"multiple projects simultaneously,power plant,power system,energy systems,energy storage,storage systems",https://www.shine.com/jobs/jobs-for-power-system-modelling-engineer/seven-consultancy/10821739/
225,Windchill Developer,SrinSoft Technologies,3 to 5 Yrs,Not Available,Bangalore,Graduation,General / Other Software,IT - Software,"design,windchill,integration,customization,application development,multithreading",https://www.shine.com/jobs/windchill-developer/srinsoft-technologies/10837653/
226,Urgent Hiring For Cnc Operator,KD Group of Industries,3 to 5 Yrs,Not Available,Other Haryana,Graduation,General / Operations Management,Manufacturing,"cnc,programming,machining,inspection,quality,continuous improvement facilitation",https://www.shine.com/jobs/urgent-hiring-for-cnc-operator/kd-group-of-industries/10020789/
227,MECHANICAL ENGINEERS,RKD Construction,5 to 10 Yrs,Not Available,Bhubaneswar,Graduation,Service / Installation / Repair,Cement / Building Material,"mechanical,inspection,safety,site,commissioning,data entry",https://www.shine.com/jobs/mechanical-engineers/rkd-construction/10649244/
228,SURVEYOR,RKD Construction,4 to 7 Yrs,Not Available,Bhubaneswar,Graduation,Engineering Design / Construction,Cement / Building Material,"store keeping,top management,market research,lead generation,civil engineers,site supervision",https://www.shine.com/jobs/surveyor/rkd-construction/10649231/
229,Design Engineer,NovusGreen,2 to 7 Yrs,Not Available,Delhi,Graduation,General / Other Software,Oil & Gas / Petroleum,"drawing,autocad,drafting,modeling,cad,continuous improvement facilitation",https://www.shine.com/jobs/design-engineer/novusgreen/10202781/
230,SITE SUPERVISOR,RKD Construction,5 to 10 Yrs,Not Available,Bhubaneswar,Graduation,Site Engineering / Project Management,Cement / Building Material,"supervision,drawing,site,leave management,store keeping,petty cash",https://www.shine.com/jobs/site-supervisor/rkd-construction/10193028/
231,Officer/Executive - E- Marketing,Amtech Electronics India Limited,1 to 3 Yrs,Not Available,Gandhinagar,Graduation,General / Other Software,Manufacturing,"front end,power quality,motion control,equipment supply,energy management,internet marketing",https://www.shine.com/jobs/officerexecutive-e-marketing/amtech-electronics-india-limited/10182463/
